,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
0,0.181,Lynyrd Skynyrd,0.596,283800,0.605,0,7e89621JPkKaeDSTQ3avtg,0.000331,7,0.0863,-12.145,1,Sweet Home Alabama,82,1974-04-15,0.0255,97.798,0.8859999999999999,1974,"blues, country, rock"
1,0.00255,Jimi Hendrix,0.438,240800,0.805,0,2aoo2jlRnM3A0NyLQqMN2f,5.69e-05,8,0.0842,-6.237,1,All Along the Watchtower,77,1968-10-25,0.0624,113.253,0.564,1968,"blues, rock"
2,0.365,Steve Miller Band,0.596,264504,0.448,0,1bp2IO61zbQrbWNmKKxg3f,5.3e-06,5,0.206,-9.616,1,The Joker,77,1973-01-01,0.0396,83.29299999999998,0.7959999999999999,1973,"blues, country, rock"
3,0.0129,"Martin Garrix, Bonn",0.414,230762,0.486,0,4ut5G4rgB1ClpMTMfjoIuy,0.0,6,0.111,-6.431,0,High On Life (feat. Bonn),76,2018-07-29,0.0311,128.03799999999998,0.368,2018,"blues, country, pop, rock"
4,0.221,The Doobie Brothers,0.645,227267,0.598,0,7Ar4G7Ci11gpt6sfH9Cgz5,3.53e-06,1,0.0721,-13.18,0,Listen to the Music,76,1972,0.0335,105.929,0.913,1972,"blues, country, rock"
5,0.0029,Blue Öyster Cult,0.333,308120,0.927,0,5QTxFnGygVM4jFQiBovmRo,0.000211,9,0.297,-8.55,0,(Don't Fear) The Reaper,76,1976,0.0733,141.47,0.382,1976,"blues, metal, rock"
6,0.234,Thin Lizzy,0.445,266720,0.706,0,43DeSV93pJPT4lCZaWZ6b1,0.000252,8,0.205,-9.803,1,The Boys Are Back In Town,75,1976,0.0461,80.82300000000002,0.768,1976,"blues, metal, rock"
7,0.406,Buffalo Springfield,0.653,153693,0.519,0,1qRA5BS78u3gME0loMl9AA,0.0209,2,0.101,-10.164,1,For What It's Worth,75,1966-12-05,0.0497,98.883,0.8220000000000001,1966,"blues, country, rock"
8,0.478,Aretha Franklin,0.5920000000000001,216773,0.355,0,3NfxSdJnVdon1axzloJgba,0.0,9,0.0585,-14.050999999999998,1,I Say a Little Prayer,75,1968-06-14,0.0352,133.032,0.499,1968,"blues, jazz"
9,0.5770000000000001,Derek & The Dominos,0.404,423840,0.902,0,2kkvB3RNRzwjFdGhaUA0tz,0.297,1,0.287,-3.88,1,Layla - 40th Anniversary Version / 2010 Remastered,75,1970-11-01,0.0665,115.669,0.4970000000000001,1970,"blues, country, rock"
10,0.00249,ZZ Top,0.545,230480,0.64,0,70YvYr2hGlS01bKRIho1HM,0.0304,4,0.196,-9.937,0,La Grange - 2005 Remaster,75,1973-07-26,0.224,80.544,0.606,1973,"blues, country, rock"
11,0.547,Etta James,0.274,179693,0.348,0,4Hhv2vrOTy89HFRcjU3QOx,0.0133,5,0.334,-8.631,1,At Last,74,1960,0.0293,87.43,0.328,1960,"blues, jazz"
12,0.684,Otis Redding,0.769,163756,0.3670000000000001,0,3zBhihYUHBmGd2bcQIobrF,1.62e-05,2,0.081,-11.226,1,(Sittin' On) the Dock of the Bay,74,1968,0.0312,103.621,0.535,1968,blues
13,0.8640000000000001,Nina Simone,0.399,174000,0.326,0,6Rqn2GFlmvmV4w9Ala0I1e,0.0,7,0.191,-9.239,0,Feeling Good,74,1965-06-01,0.0386,79.206,0.546,1965,"blues, jazz"
14,0.741,Chuck Berry,0.534,161560,0.8029999999999999,0,2QfiRTz5Yc8DdShCxG1tB2,6.07e-05,10,0.307,-9.129,1,Johnny B. Goode,74,1959-07-01,0.0743,167.983,0.969,1959,"blues, rock"
15,0.853,"Noah Cyrus, Leon Bridges",0.708,152280,0.211,0,3V0nnQhqvbE3JmiDdnzQFQ,0.0,9,0.131,-9.603,0,July (feat. Leon Bridges),74,2019-11-08,0.0424,72.5,0.362,2019,"blues, pop"
16,0.000359,ZZ Top,0.601,258027,0.8590000000000001,0,1UBQ5GK8JaQjm5VbkBZY66,0.00124,5,0.0871,-5.263,1,Sharp Dressed Man - 2008 Remaster,74,1983-03-23,0.0276,125.145,0.446,1983,"blues, country, rock"
17,0.619,Blind Melon,0.389,217107,0.476,0,6txWz9UapYHVxEd7dDIHXT,5.09e-05,9,0.255,-9.342,1,No Rain,74,1992-01-01,0.0316,148.11700000000005,0.5660000000000001,1992,"blues, metal, pop, rock"
18,0.6890000000000001,Leon Bridges,0.6579999999999999,238560,0.179,0,0NeJjNlprGfZpeX2LQuN6c,0.0,8,0.17,-10.866,1,River,74,2015-06-15,0.0448,128.128,0.191,2015,blues
19,0.57,Al Green,0.7559999999999999,199396,0.397,0,63xdwScd1Ai1GigAwQxE8y,0.0115,7,0.0542,-10.701,0,Let's Stay Together,74,1972,0.0522,101.985,0.507,1972,blues
20,0.00817,The White Stripes,0.737,231733,0.463,0,7i6r9KotUPQg3ozKKgEPIN,0.447,0,0.255,-7.8279999999999985,1,Seven Nation Army,74,2003-04-01,0.0792,123.881,0.324,2003,"blues, pop, rock"
21,0.649,Eric Clapton,0.5720000000000001,225027,0.214,0,6zC0mpGYwbNTpk9SKwh08f,0.129,7,0.125,-15.625,1,Wonderful Tonight,74,1977-11-01,0.0293,95.542,0.485,1977,"blues, rock"
22,0.0801,Cage The Elephant,0.635,208760,0.675,0,2tznHmp70DxMyr2XhWLOW0,0.0,2,0.0831,-3.445,1,Cigarette Daydreams,74,2013-10-08,0.0263,113.946,0.273,2013,"blues, pop, rock"
23,0.206,Bob Seger,0.7140000000000001,194147,0.937,0,5EOoMWIB9iK4ZpcSex9Ec7,0.0,6,0.0731,-2.947,1,Old Time Rock & Roll,74,1978-05-05,0.0399,124.13,0.964,1978,"blues, country, rock"
24,0.191,Cream,0.5529999999999999,298333,0.5760000000000001,0,3Xls4cNOwy01dtrNXb1inG,0.006640000000000001,0,0.0365,-13.458,1,White Room,73,1968-07-01,0.0304,109.827,0.457,1968,"blues, rock"
25,0.373,The Band,0.63,274493,0.551,0,0P7DoyGrr4Wp9w5TotEtUC,5.75e-05,9,0.103,-9.28,1,The Weight - Remastered,73,1968-07-01,0.0549,143.868,0.518,1968,"blues, country, rock"
26,0.129,"Martin Garrix, Bonn",0.44,207095,0.635,0,1ahVFh0ViDZr8LvkEVlq3B,0.0,11,0.121,-6.385,1,No Sleep (feat. Bonn),73,2019-02-21,0.0326,128.13299999999998,0.327,2019,"blues, country, pop, rock"
27,0.0438,Cage The Elephant,0.634,175493,0.8490000000000001,0,3Pzh926pXggbMe2ZpXyMV7,0.0,0,0.363,-7.075,1,Ain't No Rest for the Wicked,73,2009-03-24,0.105,156.004,0.919,2009,"blues, pop, rock"
28,0.302,Janis Joplin,0.453,271333,0.464,0,1IqFh00G2kvvMm8pRMpehA,5.96e-05,2,0.152,-10.96,1,Me and Bobby McGee,72,1971-01-11,0.0431,93.19,0.6579999999999999,1971,"blues, rock"
29,0.00417,The Black Keys,0.35600000000000004,193653,0.872,0,5G1sTBGbZT5o4PNRc75RKI,0.00975,2,0.0997,-7.8370000000000015,1,Lonely Boy,72,2011-12-06,0.068,166.3,0.607,2011,"blues, rock"
30,0.0738,Lynyrd Skynyrd,0.249,547107,0.8340000000000001,0,5EWPGh7jbTNO2wakv8LjUI,9.48e-05,0,0.0924,-8.21,1,Free Bird,72,1973-01-01,0.0577,118.223,0.338,1973,"blues, country, rock"
31,0.0916,The Doobie Brothers,0.575,207267,0.912,0,4nXkbcTj3nyww1cHkw5RAP,0.0021100000000000003,7,0.0562,-7.275,0,Long Train Runnin',72,1973,0.0393,117.399,0.843,1973,"blues, country, rock"
32,0.16399999999999998,Aretha Franklin,0.805,147600,0.5579999999999999,0,7s25THrKz86DM225dOYwnr,2.2e-05,0,0.0546,-5.226,1,Respect,72,1967-03-10,0.041,114.95,0.965,1967,"blues, jazz"
33,0.392,Cage The Elephant,0.47,225973,0.623,0,5n0CTysih20NYdT2S0Wpe8,0.000453,0,0.0992,-5.655,1,Trouble,72,2015-12-18,0.0302,77.861,0.298,2015,"blues, pop, rock"
34,0.008759999999999999,Jimi Hendrix,0.5329999999999999,170813,0.905,0,0wJoRiX5K5BxlqZTolB2LD,0.578,2,0.0698,-5.27,1,Purple Haze,72,1967-05-12,0.0754,108.9,0.486,1967,"blues, rock"
35,0.462,The Allman Brothers Band,0.349,288507,0.6920000000000001,0,5cfYurP1XKldMBtvBBJiTs,0.00266,1,0.197,-11.691,1,Ramblin' Man,72,1989-06-20,0.0338,179.396,0.952,1989,"blues, country, rock"
36,0.0162,"Sam Tinnesz, Yacht Money",0.573,180691,0.539,0,7vguMCv8uVuZLiQJ156u3Z,1.16e-05,2,0.105,-6.091,0,Play with Fire (feat. Yacht Money),72,2017-07-07,0.0322,75.012,0.39,2017,"blues, pop, rock"
37,0.229,Leon Bridges,0.58,240600,0.687,0,1Omt5bfz1tZUCqd26HxbS0,0.0,6,0.109,-5.4,1,Beyond,72,2018-05-04,0.106,76.014,0.187,2018,blues
38,0.249,The J. Geils Band,0.653,216533,0.677,0,1ynmMEK1fkyiZ6Z6F3ThEt,0.0,0,0.403,-12.244000000000002,1,Centerfold,72,1981,0.0396,114.37,0.888,1981,"blues, country, rock"
39,0.8,Eric Clapton,0.695,280000,0.336,0,612VcBshQcy4mpB2utGc3H,0.00264,9,0.701,-12.999,1,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",72,1992-08-25,0.0313,79.109,0.422,1992,"blues, rock"
