,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
0,0.987,Yiruma,0.314,188787,0.22,0,64rL48E6xWMIXdpcFDEiB8,0.943,9,0.0802,-21.343000000000004,1,River Flows In You,72,2001-11-27,0.0514,145.27700000000004,0.116,2001,classical
1,0.0613,Berlin,0.4970000000000001,255733,0.7190000000000001,0,15MJ5NThPjj6xhPcts8MiY,0.0,6,0.411,-9.397,1,"Take My Breath Away - Love Theme from ""Top Gun""",71,1999-01-01,0.0266,95.769,0.547,1999,classical
2,0.184,"Angel Y Khriz, Gocho El Lápiz De Platino, John Eric",0.878,202867,0.894,0,2Jz1X6ZB0gkkCVgmeVGVGp,0.0,6,0.105,-5.834,1,Na De Na,68,2008,0.123,119.927,0.682,2008,"blues, classical, country, hiphop, jazz, metal, reggae, rock"
3,0.995,Ana Olgica,0.361,144500,0.0165,0,6uWjjaiquXsjuQuks2mZME,0.967,0,0.0834,-27.874,1,Sugarcane,68,2016-12-14,0.0615,114.346,0.452,2016,classical
4,0.586,"Ed Sheeran, Andrea Bocelli",0.544,265363,0.417,0,3zl7j5ua8mF4JDYuxrfo01,0.0,8,0.085,-4.387,1,Perfect Symphony (Ed Sheeran & Andrea Bocelli),68,2017-12-15,0.0247,95.156,0.207,2017,"classical, pop"
5,0.995,Joep Beving,0.342,225829,0.0311,0,21UkknmSYISvDaQbaMIOgq,0.92,9,0.131,-26.999,1,Solitude,67,2020-04-17,0.0355,97.622,0.0634,2020,classical
6,0.865,"Elis Regina, Antônio Carlos Jobim",0.654,214366,0.393,0,15ouqiBsgL12olEwP3COsH,2.97e-06,3,0.123,-13.392,1,Águas De Março,67,1974-06-17,0.129,143.80100000000004,0.5329999999999999,1974,"classical, jazz"
7,0.995,"Ludwig van Beethoven, Paul Lewis",0.184,315427,0.00527,0,3DNRdudZ2SstnDCVKFdXxG,0.887,1,0.173,-37.264,0,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",67,2007-09-25,0.0432,170.612,0.151,2007,classical
8,0.994,Elskavon,0.249,155250,0.00248,0,5hAsWMGQXBjDjYMoIlP9Ak,0.931,2,0.118,-30.501,1,Soft Night,66,2018-08-10,0.036000000000000004,73.601,0.0788,2018,"classical, hiphop"
9,0.995,Luke Faulkner,0.353,169750,0.075,0,6dfdNTuLOK8eFusN8HaQg8,0.8859999999999999,10,0.117,-25.635,0,Clocks,66,2020-02-21,0.0379,120.308,0.317,2020,classical
10,0.927,"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",0.204,207267,0.0331,0,1upQiytDIEZfl9ItruoXuC,0.825,2,0.0954,-24.044,0,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",66,2002,0.0487,116.2,0.0547,2002,classical
