,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
69347,87860,0.153,"['Dan + Shay', 'Justin Bieber']",0.654,167693,0.63,0,2wrJq5XKLnmhRXHIAf9xBa,0.0,10,0.111,-4.644,1,"10,000 Hours (with Justin Bieber)",87,2019-10-04,0.0259,89.991,0.43,2019,['country' 'pop']
69399,87913,0.0533,"['Lil Nas X', 'Billy Ray Cyrus']",0.878,157067,0.619,0,2YpeDb67231RjR0MgVLzsG,0.0,6,0.113,-5.56,1,Old Town Road - Remix,85,2019-06-21,0.102,136.041,0.639,2019,['country' 'hiphop' 'pop']
91330,116642,0.115,"['IU', 'SUGA']",0.6759999999999999,167573,0.8690000000000001,0,0pYacDCZuRhcrwGUA5nTBe,0.0,1,0.132,-1.5730000000000002,1,eight(Prod.&Feat. SUGA of BTS),84,2020-05-06,0.0423,120.029,0.594,2020,['country' 'pop' 'rock']
65064,83340,0.181,['Lynyrd Skynyrd'],0.596,283800,0.605,0,7e89621JPkKaeDSTQ3avtg,0.000331,7,0.0863,-12.145,1,Sweet Home Alabama,82,1974-04-15,0.0255,97.798,0.8859999999999999,1974,['blues' 'country' 'rock']
69283,87795,0.171,"['Zedd', 'Maren Morris', 'Grey']",0.753,184732,0.657,0,09IStsImFySgyp0pIQdqAc,0.0,7,0.112,-3.0610000000000004,1,The Middle,82,2018-01-23,0.0449,107.01,0.4370000000000001,2018,['country' 'pop']
65262,83540,0.00574,['Eagles'],0.579,391376,0.508,0,40riOy7x9W7GXjyGp4pjAv,0.0004940000000000001,2,0.0575,-9.484,1,Hotel California - 2013 Remaster,82,1976-12-08,0.027000000000000003,147.125,0.609,1976,['country' 'rock']
69237,87749,0.6759999999999999,['Luke Combs'],0.552,193200,0.402,0,2rxQMGVafnNaRaXlRMWPde,0.0,11,0.0928,-7.431,1,Beautiful Crazy,81,2018-06-01,0.0262,103.313,0.382,2018,['country']
84319,107205,0.0578,['Lil Nas X'],0.907,113000,0.53,0,0F7FA14euOIX8KcbEturGH,2.23e-06,1,0.101,-6.112,1,Old Town Road,81,2019-06-21,0.127,135.998,0.507,2019,['country' 'hiphop' 'pop']
69233,87745,0.657,['Morgan Wallen'],0.631,205453,0.591,0,5MwynWK9s4hlyKHqhkNn4A,0.0,7,0.11,-5.785,1,Chasin' You,81,2018-04-27,0.0277,97.074,0.489,2018,['country']
69232,87744,0.369,['Morgan Wallen'],0.614,234347,0.68,0,6foY66mWZN0pSRjZ408c00,1.84e-06,6,0.115,-4.58,1,Whiskey Glasses,81,2018-04-27,0.0289,149.959,0.7070000000000001,2018,['country']
69404,87918,0.0667,"['Marshmello', 'Kane Brown']",0.659,181824,0.623,0,4hPpVbbakQNv8YTHYaOJP4,0.0,4,0.5820000000000001,-2.253,1,One Thing Right,81,2019-06-21,0.0451,88.042,0.439,2019,['country' 'pop']
66032,84340,0.0183,['Bryan Adams'],0.508,216053,0.8340000000000001,0,0GONea6G2XdnHWjNZd6zt3,0.0,2,0.0732,-6.205,1,Summer Of '69,81,1984-11-05,0.0386,139.131,0.774,1984,['country' 'pop' 'rock']
69176,87688,0.0337,"['Hailee Steinfeld', 'Alesso', 'Florida Georgia Line', 'watt']",0.664,174800,0.708,0,5Gu0PDLN4YJeW75PpBSg9p,0.0,8,0.0841,-4.154,1,"Let Me Go (with Alesso, Florida Georgia Line & watt)",80,2017-09-08,0.0474,103.07,0.742,2017,['country' 'pop' 'rock']
69363,87876,0.0951,['Gabby Barrett'],0.561,209229,0.536,0,2Hc4t9N2nt37oO4sF9BynI,0.0,6,0.114,-6.227,1,I Hope,80,2019-01-25,0.0346,150.01,0.378,2019,['country' 'pop']
69151,87662,0.047,"['Bebe Rexha', 'Florida Georgia Line']",0.643,163870,0.7829999999999999,0,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.4579999999999975,1,Meant to Be (feat. Florida Georgia Line),80,2017-08-11,0.0856,154.084,0.579,2017,['country' 'pop' 'rock']
64604,82841,0.201,['Creedence Clearwater Revival'],0.64,140773,0.6629999999999999,0,4BP3uh0hFLFRb5cjsgLqDh,0.00806,0,0.152,-7.516,1,Fortunate Son,80,1969-11-02,0.0374,132.77,0.6629999999999999,1969,['country' 'rock']
69136,87644,0.0153,['Luke Combs'],0.464,222533,0.813,0,6xHI9KjUjYT0FPtGO8Mxa1,0.0,10,0.254,-6.185,1,Hurricane,79,2017-06-02,0.0416,75.975,0.516,2017,['country']
68943,87443,0.205,['Chris Stapleton'],0.392,293293,0.37,0,3fqwjXwUGN6vbzIwvyFMhx,0.0096,9,0.0821,-10.888,1,Tennessee Whiskey,79,2015-05-04,0.0298,48.718,0.512,2015,['country']
69478,87994,0.601,['Morgan Wallen'],0.621,216573,0.882,0,6FniJZn4agmDtPx1pKZQsa,0.0,6,0.132,-5.01,1,More Than My Hometown,79,2020-04-17,0.0459,126.023,0.573,2020,['country']
69135,87643,0.013,['Luke Combs'],0.551,240760,0.8009999999999999,0,1mMLMZYXkMueg65jRRWG1l,6.03e-06,6,0.265,-5.069,1,When It Rains It Pours,79,2017-06-02,0.0303,128.02700000000002,0.625,2017,['country']
65263,83541,0.0008939999999999998,['Boston'],0.377,285133,0.682,0,1QEEqeFIZktqIpPI4jSVSF,0.00217,7,0.0504,-8.039,1,More Than a Feeling,79,1976,0.0299,108.736,0.28800000000000003,1976,['country' 'rock']
66512,84840,0.212,['Tom Petty'],0.623,256000,0.449,0,5tVA6TkbaAH9QMITTQRrNv,0.0,5,0.0613,-13.333,1,Free Fallin',79,1989-01-01,0.0253,84.383,0.5720000000000001,1989,['country' 'pop' 'rock']
