,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
76932,97565,0.165,"['Earth, Wind & Fire']",0.6940000000000001,215080,0.831,0,7Cuk8jsPPoNYQWXK9XRFvG,0.000892,9,0.25,-7.2879999999999985,1,September,80,2018-04-17,0.0301,125.901,0.98,2018,['disco' 'jazz']
66035,84343,0.272,['Wham!'],0.62,231333,0.574,0,0ikz6tENMONtK6qGkOrU3c,0.0,0,0.0607,-11.893,1,Wake Me up Before You Go-Go,79,1984-10-23,0.0421,81.548,0.9,1984,['disco' 'pop' 'rock']
65553,83844,0.0322,['Bee Gees'],0.703,285373,0.826,0,3mRM4NM8iO7UBqrSigCQFH,0.00629,10,0.179,-7.1789999999999985,0,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",77,1979-01-01,0.0341,103.564,0.945,1979,['disco' 'rock']
68817,87311,0.0426,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",0.794,248413,0.8109999999999999,0,2Foc5Q5nqNiosCNqttzHof,1.07e-06,6,0.101,-8.966000000000003,0,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,2013-04-19,0.038,116.047,0.862,2013,['disco' 'hiphop' 'pop']
65559,83850,0.105,['Bee Gees'],0.633,245200,0.35700000000000004,0,2JoZzpdeP2G6Csfdq5aLXP,0.0,5,0.133,-9.366,0,How Deep Is Your Love,77,1979-01-01,0.0264,104.938,0.674,1979,['disco' 'rock']
65362,83647,0.112,['Commodores'],0.589,256427,0.384,0,1JQ6Xm1JrvHfvAqhl5pwaA,2.8000000000000013e-05,10,0.0596,-15.075,0,Easy,76,1977-01-01,0.0332,132.909,0.354,1977,['disco' 'rock']
76705,97328,0.0389,"['Calvin Harris', 'Disciples']",0.738,212640,0.868,0,22mek4IiqubGD9ctzxc69s,0.00171,11,0.388,-4.373,0,How Deep Is Your Love,76,2015-07-17,0.0731,122.003,0.336,2015,['disco' 'pop']
65471,83760,0.281,"['John Travolta', 'Olivia Newton-John']",0.758,169840,0.612,0,0B9x2BRHqj3Qer7biM3pU3,0.00288,0,0.0954,-11.403,1,You're The One That I Want - From “Grease”,75,1978-04-04,0.0598,106.945,0.8220000000000001,1978,['disco' 'pop' 'rock']
67970,86428,0.00427,['Eric Prydz'],0.597,171360,0.8370000000000001,0,1xNcBAoUw8Hz6LqK2jt4Ff,0.00114,10,0.8390000000000001,-6.518,1,Call on Me - Radio Mix,75,2004-09-10,0.375,126.342,0.447,2004,['disco']
64339,82544,0.299,['The Supremes'],0.63,167933,0.711,0,1OppEieGNdItZbE14gLBEv,0.0,10,0.0813,-9.34,1,You Can't Hurry Love,74,1966-08-25,0.0472,96.912,0.659,1966,['disco' 'pop' 'rock']
67635,86071,0.00793,['Modjo'],0.72,307154,0.8079999999999999,0,49X0LAl6faAusYq02PRAY6,0.0293,6,0.0634,-5.627000000000002,1,Lady - Hear Me Tonight,74,2001,0.0379,126.041,0.8690000000000001,2001,['disco']
49371,63138,0.317,"['Jax Jones', 'Martin Solveig', 'Madison Beer', 'Europa']",0.5670000000000001,169467,0.765,0,5naYe7rLMZcLfO1DKg48MK,0.0,1,0.14,-4.107,0,All Day And Night,74,2019-07-12,0.108,121.924,0.541,2019,['disco' 'pop']
65752,84050,0.121,"['Earth, Wind & Fire']",0.8690000000000001,339320,0.648,0,3koCCeSaVUyrRo3N2gHrd8,2.17e-05,11,0.126,-8.698,0,Let's Groove,73,1981-11-14,0.0633,125.035,0.9,1981,['disco' 'jazz']
60998,77947,0.0416,"['Martin Solveig', 'Roy Woods']",0.7120000000000001,204514,0.664,0,1CRy08G60mS5jvhB27xMpS,0.000104,11,0.0668,-8.026,1,Juliet & Romeo,73,2019-12-06,0.0345,122.014,0.7809999999999999,2019,['disco' 'hiphop' 'pop']
67264,85665,0.011,['Eric Carmen'],0.7120000000000001,251067,0.5489999999999999,0,31H6au3jhblhr6MMJiXnCq,0.0,5,0.118,-9.484,1,Hungry Eyes,73,1997,0.0254,109.882,0.552,1997,['disco' 'pop' 'rock']
65566,83857,0.0843,"['Earth, Wind & Fire', 'The Emotions']",0.802,288293,0.7559999999999999,0,6ztstiyZL6FXzh4aG46ZPD,0.00765,2,0.0521,-10.791,0,Boogie Wonderland,73,1979-06,0.0349,131.715,0.963,1979,['disco' 'jazz']
83965,106826,0.006370000000000001,['Duke Dumont'],0.6859999999999999,206320,0.718,0,0b6wdul3A5sQNpIOv03OxP,0.0007030000000000001,8,0.119,-5.0539999999999985,0,Ocean Drive,73,2015-07-31,0.0431,115.026,0.557,2015,['disco' 'pop']
65954,84258,0.225,['Culture Club'],0.6679999999999999,252773,0.73,0,2wSAWEYUHkt92X4SBAPqZE,0.0,10,0.188,-7.182,1,Karma Chameleon - Remastered,73,1983-10-01,0.0366,92.049,0.894,1983,['disco' 'pop' 'rock']
68641,87123,0.0893,['Bag Raiders'],0.636,235813,0.72,0,0UeYCHOETPfai02uskjJ3x,0.0178,11,0.0868,-6.195,1,Shooting Stars,73,2011-01-01,0.0432,124.944,0.425,2011,['disco']
68487,86966,0.179,"['Mike Posner', 'Gigamesh']",0.768,213293,0.82,0,2V4bv1fNWfTcyRJKmej6Sj,0.0,7,0.7040000000000001,-4.63,0,Cooler Than Me - Single Mix,73,2010-08-09,0.0475,129.969,0.625,2010,['disco' 'hiphop' 'pop']
74858,95276,0.028,"['Nightcrawlers', 'MK']",0.7929999999999999,243160,0.5,0,1EWsVHU4FNAdtN4R8FETag,1.96e-05,6,0.18600000000000005,-13.108,0,Push The Feeling On - Mk Dub Revisited Edit,72,1995,0.0319,123.017,0.833,1995,['disco' 'hiphop' 'pop' 'rock']
65009,83281,0.727,['Roberta Flack'],0.477,286920,0.381,0,3gsCAGsWr6pUm1Vy7CPPob,0.0,5,0.0615,-10.237,0,Killing Me Softly with His Song,72,1973-01-01,0.0342,121.568,0.329,1973,['disco' 'jazz' 'rock']
65575,83866,0.0266,['Bee Gees'],0.733,212253,0.795,0,5KgbyD2lQQlIupAaPjgiXg,0.000948,1,0.083,-7.224,0,"Night Fever - From ""Saturday Night Fever"" Soundtrack",72,1979-01-01,0.0249,109.122,0.892,1979,['disco' 'rock']
67693,86135,0.0263,['Kylie Minogue'],0.7659999999999999,230640,0.563,0,3E7ZwUMJFqpsDOJzEkBrQ7,0.6829999999999999,9,0.115,-7.516,0,Can't Get You out of My Head,72,2001-10-01,0.0339,126.007,0.964,2001,['disco' 'pop' 'rock']
64258,82444,0.245,['Four Tops'],0.667,160280,0.599,0,6b6IMqP565TbtFFZg9iFf3,0.0,0,0.107,-8.894,1,"I Can't Help Myself (Sugar Pie, Honey Bunch)",72,1965,0.0291,127.935,0.971,1965,['disco' 'pop' 'rock']
76439,97044,0.0378,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",0.81,369627,0.7929999999999999,0,69kOkLUCkxIZYexIgSG8rq,1.82e-06,6,0.07200000000000001,-9.404,0,Get Lucky (feat. Pharrell Williams & Nile Rodgers),72,2013-05-17,0.0403,116.049,0.863,2013,['disco' 'hiphop' 'pop']
68362,86839,0.506,['Spandau Ballet'],0.7440000000000001,328293,0.545,0,0CsM8VGDi38kusMv3pxyj1,0.0977,0,0.0649,-9.361,1,True - Single Edit,72,2008-04-25,0.0297,97.409,0.34600000000000003,2008,['disco' 'pop' 'rock']
111924,144145,0.123,"['Kaskade', 'Meghan Trainor']",0.362,180840,0.921,0,1xK7enJZVdv37fnnxoZlPq,0.0,1,0.19,-3.815,0,With You,71,2019-06-14,0.486,172.19099999999997,0.529,2019,['disco' 'hiphop' 'pop']
67533,85959,0.0131,['Gloria Gaynor'],0.777,198066,0.725,0,7cv28LXcjAC3GsXbUvXKbX,0.00805,0,0.246,-8.681000000000001,1,I Will Survive - Single Version,71,2000-01-01,0.05,116.669,0.529,2000,['disco']
65186,83464,0.522,['Hot Chocolate'],0.7909999999999999,244920,0.7340000000000001,0,714hERk9U1W8FMYkoC83CO,0.00165,5,0.16699999999999998,-5.464,1,You Sexy Thing,71,1975,0.0629,105.854,0.962,1975,['disco' 'pop' 'rock']
76210,96797,0.000547,['Lipps Inc.'],0.906,239253,0.63,1,7723JnKU2R15Iv4T7OJrly,0.616,0,0.0994,-8.071,1,Funky Town,71,2010-02-01,0.0575,122.458,0.342,2010,['country' 'disco']
66760,85101,0.187,['Paul Young'],0.5720000000000001,267000,0.721,0,05fHQeRbCSjKVS6z0WbQKJ,7.41e-06,5,0.21600000000000005,-8.959,1,Every Time You Go Away - Radio Edit,71,1991-09-07,0.0402,164.252,0.8440000000000001,1991,['disco' 'pop' 'rock']
