,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
0,0.247,"DaBaby, Roddy Ricch",0.746,181733,0.69,1,7ytR5pFWmSjzHJIeQkgog4,0.0,11,0.101,-7.956,1,ROCKSTAR (feat. Roddy Ricch),99,2020-04-17,0.16399999999999998,89.977,0.4970000000000001,2020,hiphop
1,0.233,"THE SCOTTS, Travis Scott, Kid Cudi",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0.0,0,0.157,-7.648,0,THE SCOTTS,96,2020-04-24,0.0514,129.97899999999998,0.28,2020,"hiphop, pop"
2,0.321,Drake,0.8340000000000001,247059,0.454,1,127QTOFJsJQp5LbJbu3A1y,6.15e-06,1,0.114,-9.75,0,Toosie Slide,95,2020-04-03,0.201,81.618,0.8370000000000001,2020,"hiphop, pop"
3,0.104,Roddy Ricch,0.8959999999999999,196653,0.586,1,0nbXyq5TXYPCO7pr3N8S4I,0.0,10,0.79,-6.687,0,The Box,95,2019-12-06,0.0559,116.971,0.642,2019,hiphop
4,0.0264,6ix9ine,0.611,132303,0.688,1,4NhDYoQTYCdWHTvlbGVgwo,0.0,1,0.251,-5.688,1,GOOBA,94,2020-05-08,0.341,178.46200000000005,0.393,2020,hiphop
5,0.0522,Arizona Zervas,0.621,163636,0.601,1,696DnlkuDOXcMAnKlTgXXK,0.0,6,0.46,-5.6160000000000005,0,ROXANNE,92,2019-10-10,0.14800000000000002,116.735,0.457,2019,"hiphop, pop"
6,0.021,Bad Bunny,0.86,172127,0.758,0,0SqqAgdovOE24BzxIClpjw,6.54e-05,11,0.344,-5.16,1,Yo Perreo Sola,92,2020-02-28,0.0695,97.014,0.453,2020,"hiphop, reggae"
7,0.207,Lil Mosey,0.774,162547,0.5539999999999999,1,6wJYhPfqk3KGhHRG76WzOh,0.0,0,0.132,-7.909,1,Blueberry Faygo,92,2020-02-07,0.0383,99.034,0.349,2020,hiphop
8,0.017,Jack Harlow,0.923,139741,0.604,1,1jaTQ3nqY3oAAYyCTbIvnM,0.0,11,0.272,-6.671,0,WHATS POPPIN,92,2020-03-13,0.245,145.062,0.826,2020,"hiphop, pop"
9,0.123,Trevor Daniel,0.784,159382,0.43,0,4TnjEaWOeW0eKTKIEvJyCa,0.0,10,0.0887,-8.756,0,Falling,92,2018-10-05,0.0364,127.087,0.236,2018,"hiphop, pop"
10,0.0847,Travis Scott,0.841,243837,0.728,1,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,goosebumps,92,2016-09-16,0.0484,130.049,0.43,2016,hiphop
11,0.016,"Megan Thee Stallion, Beyoncé",0.8220000000000001,242001,0.743,1,5v4GgrXPMghOnBBLmveLac,0.0,10,0.127,-4.772,0,Savage Remix (feat. Beyoncé),92,2020-04-29,0.28,84.459,0.636,2020,"hiphop, pop"
12,0.00513,Travis Scott,0.8340000000000001,312820,0.73,1,2xLMifQCjDGFmkHkpNLD9h,0.0,8,0.124,-3.714,1,SICKO MODE,92,2018-08-03,0.222,155.00799999999995,0.446,2018,hiphop
13,0.0103,"Bad Bunny, Jowell & Randy, Nengo Flow",0.607,295177,0.8290000000000001,1,2DEZmgHKAvm41k4J3R2E9Y,0.0,2,0.107,-4.074,1,Safaera,92,2020-02-28,0.379,96.172,0.685,2020,"hiphop, reggae"
14,0.295,"KAROL G, Nicki Minaj",0.8029999999999999,200960,0.715,0,7k4t7uLgtOxPwTpFmtJNTY,0.000134,2,0.0574,-3.28,1,Tusa,92,2019-11-07,0.298,101.085,0.574,2019,"hiphop, pop, reggae"
15,0.0546,Travis Scott,0.598,175721,0.4270000000000001,1,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7,0.21,-8.764,0,HIGHEST IN THE ROOM,91,2019-10-04,0.0317,76.469,0.0605,2019,hiphop
16,0.317,"Justin Bieber, Quavo",0.8109999999999999,212869,0.5529999999999999,0,364dI1bYnvamSnBJ8JcNzN,0.0,9,0.105,-6.644,1,Intentions,90,2020-02-07,0.0552,148.014,0.86,2020,"hiphop, pop"
17,0.193,"Black Eyed Peas, Ozuna, J. Rey Soul",0.894,249143,0.635,1,14wf185UxfNbSy8dwt4r4q,0.00105,2,0.0823,-6.9289999999999985,1,MAMACITA,90,2020-04-10,0.0473,105.013,0.428,2020,"hiphop, pop, reggae"
18,0.0706,"Future, Drake",0.6759999999999999,237735,0.609,1,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2,0.152,-5.831,0,Life Is Good (feat. Drake),90,2020-01-10,0.481,142.037,0.508,2020,"hiphop, pop"
19,0.192,"ROSALÍA, Travis Scott",0.7759999999999999,129371,0.509,0,4w47S36wQGBhGg073q3nt7,1.49e-06,0,0.115,-6.266,0,TKN (feat. Travis Scott),90,2020-05-28,0.467,94.634,0.485,2020,hiphop
20,0.00981,Don Toliver,0.629,167916,0.6920000000000001,1,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,After Party,90,2020-03-13,0.0376,162.94799999999995,0.453,2020,hiphop
21,0.0252,Megan Thee Stallion,0.843,155497,0.741,1,55CHeLEfn5iJ0IIkgaa4si,0.0,11,0.096,-5.609,1,Savage,89,2020-03-06,0.334,168.983,0.68,2020,"hiphop, pop"
22,0.145,"Eminem, Juice WRLD",0.8079999999999999,210800,0.745,1,7FIWs0pqAYbP91WWM0vlTQ,0.0,10,0.292,-5.26,0,Godzilla (feat. Juice WRLD),89,2020-01-17,0.342,165.995,0.8290000000000001,2020,hiphop
23,0.0397,Juice WRLD,0.7070000000000001,243357,0.622,1,0OyQns5ayNK2OVaES0Vb8t,0.0,0,0.149,-6.9510000000000005,1,Righteous,89,2020-04-24,0.031,142.942,0.223,2020,hiphop
24,0.349,Juice WRLD,0.511,239836,0.5660000000000001,1,285pBltuF7vW8TeWk8hdRR,0.0,6,0.34,-7.23,0,Lucid Dreams,89,2018-12-10,0.2,83.90299999999998,0.218,2018,hiphop
25,0.119,"Doja Cat, Nicki Minaj",0.856,206221,0.6409999999999999,1,11VApNQCWLJdzxWrlmwzUa,4.97e-06,11,0.4270000000000001,-4.64,0,Say So (feat. Nicki Minaj),89,2020-05-01,0.204,111.004,0.745,2020,"hiphop, pop"
26,0.3,"Justin Bieber, Quavo",0.8059999999999999,212867,0.546,0,4umIPjkehX1r7uhmGvXiSV,0.0,9,0.102,-6.6370000000000005,1,Intentions (feat. Quavo),88,2020-02-14,0.0575,147.986,0.8740000000000001,2020,"hiphop, pop"
27,0.207,Lil Mosey,0.774,162547,0.5539999999999999,1,22LAwLoDA5b4AaGSkg6bKW,0.0,0,0.132,-7.909,1,Blueberry Faygo,88,2020-02-06,0.0383,99.034,0.349,2020,hiphop
28,0.464,"Anuel AA, Bad Bunny",0.691,246000,0.765,1,06s3QtMJVXw1AJX3UfvZG1,3.29e-06,8,0.203,-4.727,1,Hasta Que Dios Diga,88,2020-05-29,0.111,174.021,0.855,2020,"hiphop, reggae"
29,0.128,blackbear,0.778,185093,0.5589999999999999,1,7aiClxsDWFRQ0Kzk5KI5ku,0.0,6,0.399,-7.109,0,hot girl bummer,88,2019-08-23,0.0776,129.989,0.6779999999999999,2019,"hiphop, pop"
30,0.629,"Drake, Giveon",0.735,220488,0.449,1,4wVOKKEHUJxHCFFNUWDn0B,0.0,10,0.113,-7.5070000000000014,1,Chicago Freestyle (feat. Giveon),88,2020-05-01,0.34700000000000003,122.947,0.0397,2020,"hiphop, pop"
31,0.0334,"Black Eyed Peas, J Balvin",0.721,221714,0.716,1,6cy3ki60hLwimwIje7tALf,0.00084,10,0.237,-7.037000000000001,0,RITMO (Bad Boys For Life),88,2019-10-12,0.0657,104.994,0.667,2019,"hiphop, pop, reggae"
32,0.0861,Bad Bunny,0.685,163084,0.848,1,6NfrH0ANGmgBXyxgV2PeXt,7.14e-06,8,0.0783,-4.561,0,La Difícil,88,2020-02-28,0.0858,179.87,0.7609999999999999,2020,"hiphop, reggae"
33,0.469,XXXTENTACION,0.872,119133,0.391,1,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0,0.297,-9.144,0,Jocelyn Flores,87,2017-08-25,0.242,134.02100000000002,0.4370000000000001,2017,hiphop
34,0.392,"Mustard, Roddy Ricch",0.809,180435,0.545,1,3QzAOrNlsabgbMwlZt7TAY,0.0,7,0.151,-6.678,1,Ballin' (with Roddy Ricch),87,2019-06-28,0.0735,97.008,0.244,2019,"hiphop, pop"
35,0.258,XXXTENTACION,0.74,166606,0.613,1,3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,1,SAD!,87,2018-03-16,0.145,75.023,0.473,2018,hiphop
36,0.124,"Post Malone, 21 Savage",0.585,218147,0.52,1,0e7ipj03S05BNilyu5bRzt,7.01e-05,5,0.131,-6.136,0,rockstar (feat. 21 Savage),87,2018-04-27,0.0712,159.80100000000004,0.129,2018,hiphop
37,0.3,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",0.815,345241,0.715,1,1mohfLaTJtB2RplHLQVM70,4.83e-06,4,0.091,-4.65,0,La Jeepeta - Remix,87,2020-04-24,0.207,176.007,0.7859999999999999,2020,"hiphop, reggae"
38,0.402,Bad Bunny,0.9,170972,0.603,0,41wtwzCZkXwpnakmwJ239F,4.81e-06,2,0.134,-5.313,1,Si Veo a Tu Mamá,87,2020-02-28,0.0646,129.928,0.8240000000000001,2020,"hiphop, reggae"
39,0.703,"Sleepy Hallow, Fousheé",0.8759999999999999,115200,0.479,1,4zTPYAf5scZdp0LnwPPeWK,0.0,4,0.102,-6.687,0,Deep End Freestyle,87,2020-04-03,0.44,133.858,0.7759999999999999,2020,hiphop
40,0.289,Drake,0.83,247059,0.49,1,466cKvZn1j45IpxDdYZqdA,3.04e-06,1,0.113,-8.82,0,Toosie Slide,87,2020-05-01,0.209,81.604,0.845,2020,"hiphop, pop"
41,0.398,Myke Towers,0.8009999999999999,214013,0.745,1,3JHpk0DOTOzyh0777JFAky,0.00603,6,0.153,-3.733,0,Diosa,87,2020-01-24,0.063,104.965,0.245,2020,hiphop
42,0.269,"Roddy Ricch, Mustard",0.831,220487,0.499,1,07KXEDMj78x68D884wgVEm,0.0,11,0.3,-8.442,0,High Fashion (feat. Mustard),87,2019-12-06,0.114,97.956,0.511,2019,"hiphop, pop"
43,0.328,Juice WRLD,0.685,240051,0.6920000000000001,1,6Hj9jySrnFppAI0sEMCZpJ,0.0,2,0.153,-5.122000000000001,1,Robbery,86,2019-03-08,0.0457,159.966,0.578,2019,hiphop
44,0.0687,"Juice WRLD, YoungBoy Never Broke Again",0.474,189323,0.631,1,6Gg1gjgKi2AK4e0qzsR7sd,0.0,5,0.132,-5.884,0,Bandit (with YoungBoy Never Broke Again),86,2019-10-04,0.343,180.051,0.425,2019,hiphop
45,0.0149,"SAINt JHN, Imanbek",0.784,176219,0.721,1,7fPuWrlpwDcHm5aHCH5D9t,0.00424,8,0.285,-5.4570000000000025,1,Roses - Imanbek Remix,86,2019-09-13,0.0506,121.966,0.895,2019,"hiphop, pop"
46,0.0236,Lil Uzi Vert,0.775,234627,0.72,1,3kW4z2pIj5VY5fLjBrMRL5,0.0,11,0.114,-5.353,0,P2,86,2020-03-06,0.193,155.086,0.49,2020,hiphop
47,0.018000000000000002,"Camila Cabello, DaBaby",0.7240000000000001,170746,0.491,0,3yOlyBJuViE2YSGn3nVE1K,1.29e-05,8,0.0887,-6.024,1,My Oh My (feat. DaBaby),86,2019-12-06,0.0296,105.046,0.383,2019,"hiphop, pop"
48,0.016,"Bad Bunny, Don Omar",0.772,194200,0.83,1,5XqCz18k96K8tx6DAYM97i,0.0,7,0.0843,-5.019,1,PA' ROMPERLA,86,2020-05-10,0.0599,94.011,0.6970000000000001,2020,"hiphop, pop, reggae"
49,0.0946,"Jhay Cortez, Bad Bunny",0.807,227520,0.606,1,2tFwfmceQa1Y6nRPhYbEtC,0.0,3,0.119,-8.871,0,CÓMO SE SIENTE - Remix,86,2020-05-09,0.08800000000000001,92.988,0.304,2020,"hiphop, reggae"
50,0.189,DaBaby,0.769,159715,0.787,1,6Ozh9Ok6h4Oi1wUSLtBseN,0.0,11,0.129,-3.909,1,BOP,86,2019-09-27,0.3670000000000001,126.77,0.836,2019,hiphop
51,0.0326,"Bad Bunny, Daddy Yankee",0.7440000000000001,206420,0.868,1,69vlMrzHwATKzupwNcUPyK,0.0,1,0.0822,-4.524,1,La Santa,86,2020-02-28,0.047,93.037,0.586,2020,"hiphop, reggae"
52,0.24,"Doja Cat, Gucci Mane",0.879,163173,0.499,1,4EivmOT13NMpNSfTKn9p4s,0.0,4,0.0967,-6.027,0,Like That (feat. Gucci Mane),86,2019-11-07,0.18,106.043,0.405,2019,"hiphop, pop"
53,0.181,"Y2K, bbno$",0.843,160627,0.391,1,51Fjme0JiitpyXKuyQiCDo,0.0,2,0.13699999999999998,-7.899,1,Lalala,86,2019-06-28,0.0845,129.972,0.496,2019,"hiphop, pop"
54,0.0902,"PARTYNEXTDOOR, Rihanna",0.43,183219,0.7,1,4HDCLYli2SUdkq9OjmvhSD,0.0,6,0.21600000000000005,-5.35,1,BELIEVE IT,86,2020-03-27,0.264,158.373,0.731,2020,"hiphop, pop"
55,0.374,Ali Gatie,0.732,212607,0.463,0,5DqdesEfbRyOlSS3Tf6c29,0.0,11,0.194,-6.972,0,It's You,86,2019-11-08,0.0287,95.971,0.397,2019,"hiphop, pop"
56,0.238,"Alex Rose, Rafa Pabön",0.851,259600,0.688,0,5m3jpKkgkfoMcym1qjToFg,1.93e-05,11,0.105,-4.038,1,Jangueo,86,2019-11-08,0.0565,103.982,0.732,2019,"hiphop, reggae"
57,0.412,Bad Bunny,0.7120000000000001,178000,0.599,1,0FktnzDqjClqU6iqOZVEs2,2.15e-05,5,0.103,-6.3420000000000005,0,BYE ME FUI,86,2020-05-10,0.112,179.78799999999995,0.588,2020,"hiphop, reggae"
58,0.042,24kGoldn,0.6859999999999999,112493,0.541,0,6ap9lSRJ0iLriGLqoJ44cq,0.0,0,0.0675,-4.993,0,CITY OF ANGELS,86,2019-11-22,0.0493,120.082,0.7240000000000001,2019,"hiphop, pop"
59,0.055,Lil Uzi Vert,0.7709999999999999,224955,0.654,1,56uXDJRCuoS7abX3SkzHKQ,0.0,8,0.214,-6.976,0,Myron,86,2020-03-13,0.298,155.047,0.573,2020,hiphop
60,0.471,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0.654,249520,0.672,0,5stPVcRqb4qixbafP9e8lt,0.0,0,0.0781,-5.98,0,Hola - Remix,86,2019-11-01,0.311,181.857,0.343,2019,"hiphop, reggae"
61,0.11,"Dímelo Flow, Arcangel, Sech",0.883,226533,0.6679999999999999,0,7sQKy5vlPQllr0k9IjYJv3,0.000529,9,0.0734,-2.957,1,Sigues Con El,86,2019-12-13,0.113,87.97200000000002,0.6759999999999999,2019,"hiphop, pop, reggae"
