,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
0,0.496,"S1mba, DTG",0.613,167917,0.624,1,4slSrbTK1sNK4I1mDYEthf,0.0,11,0.28300000000000003,-6.66,0,Rover (feat. DTG),86,2020-03-04,0.206,62.948,0.804,2020,jazz
1,0.202,"Young T & Bugsey, Headie One",0.961,207640,0.461,1,0PXukVbYpvz40KcEFKnIw7,0.00402,9,0.162,-8.684,1,Don't Rush (feat. Headie One),82,2019-11-07,0.27,108.028,0.324,2019,"hiphop, jazz"
2,0.165,"Earth, Wind & Fire",0.6940000000000001,215080,0.831,0,7Cuk8jsPPoNYQWXK9XRFvG,0.000892,9,0.25,-7.2879999999999985,1,September,80,2018-04-17,0.0301,125.901,0.98,2018,"disco, jazz"
3,0.217,"Rex Orange County, Benny Sings",0.7559999999999999,155720,0.609,1,5EYi2rH4LYs6M21ZLOyQTx,0.00474,3,0.096,-7.927,1,Loving Is Easy,79,2017-10-11,0.0544,117.023,0.537,2017,"jazz, pop"
4,0.0251,TLC,0.743,214400,0.675,0,1KGi9sZVMeszgZOWivFpxs,0.000717,8,0.0685,-4.267,0,No Scrubs,79,1999-02-23,0.0953,92.909,0.59,1999,"hiphop, jazz, pop"
5,0.303,"Blackstreet, Dr. Dre, Queen Pen",0.867,304600,0.6459999999999999,0,6MdqqkQ8sSC0WB4i8PyRuQ,0.0,1,0.279,-4.674,0,No Diggity,76,1996-09-09,0.28800000000000003,88.634,0.67,1996,"hiphop, jazz, pop"
6,0.0269,"Alan Walker, Ruben",0.73,184889,0.789,0,22O2Zdfj3jnJZDSzlDMAJp,0.0,10,0.129,-3.982,1,Heading Home,75,2020-04-01,0.034,107.981,0.106,2020,jazz
7,0.478,Aretha Franklin,0.5920000000000001,216773,0.355,0,3NfxSdJnVdon1axzloJgba,0.0,9,0.0585,-14.050999999999998,1,I Say a Little Prayer,75,1968-06-14,0.0352,133.032,0.499,1968,"blues, jazz"
8,0.547,Etta James,0.274,179693,0.348,0,4Hhv2vrOTy89HFRcjU3QOx,0.0133,5,0.334,-8.631,1,At Last,74,1960,0.0293,87.43,0.328,1960,"blues, jazz"
9,0.453,"Frank Sinatra, Count Basie",0.6679999999999999,147000,0.26,0,5b7OgznPJJr1vHNYGyvxau,0.0,7,0.0621,-14.255999999999998,1,Fly Me To The Moon (In Other Words),74,1962-12-10,0.0523,119.416,0.368,1962,jazz
10,0.8640000000000001,Nina Simone,0.399,174000,0.326,0,6Rqn2GFlmvmV4w9Ala0I1e,0.0,7,0.191,-9.239,0,Feeling Good,74,1965-06-01,0.0386,79.206,0.546,1965,"blues, jazz"
11,0.121,"Earth, Wind & Fire",0.8690000000000001,339320,0.648,0,3koCCeSaVUyrRo3N2gHrd8,2.17e-05,11,0.126,-8.698,0,Let's Groove,73,1981-11-14,0.0633,125.035,0.9,1981,"disco, jazz"
12,0.00456,MC Hammer,0.867,257360,0.517,0,1B75hgRqe7A4fwee3g3Wmu,0.000339,11,0.0864,-13.222,0,U Can't Touch This,73,1990-02-20,0.0875,133.148,0.866,1990,"hiphop, jazz"
13,0.883,Norah Jones,0.732,186147,0.198,0,6ybViy2qrO9sIi41EgRJgx,1.1e-05,5,0.0659,-11.775,1,Don't Know Why,73,2002-02-26,0.028,88.17399999999998,0.618,2002,jazz
14,0.0843,"Earth, Wind & Fire, The Emotions",0.802,288293,0.7559999999999999,0,6ztstiyZL6FXzh4aG46ZPD,0.00765,2,0.0521,-10.791,0,Boogie Wonderland,73,1979-06,0.0349,131.715,0.963,1979,"disco, jazz"
15,0.00186,Ginuwine,0.7490000000000001,251733,0.605,0,6mz1fBdKATx6qP4oP1I65G,0.0381,8,0.115,-9.359,0,Pony,72,1999-10-08,0.086,142.024,0.966,1999,"hiphop, jazz, pop"
16,0.311,TLC,0.77,279507,0.505,0,6qspW4YKycviDFjHBOaqUY,7.4e-05,1,0.0777,-7.345,1,Waterfalls,72,1994-11-15,0.0828,171.798,0.757,1994,"hiphop, jazz, pop"
17,0.727,Roberta Flack,0.477,286920,0.381,0,3gsCAGsWr6pUm1Vy7CPPob,0.0,5,0.0615,-10.237,0,Killing Me Softly with His Song,72,1973-01-01,0.0342,121.568,0.329,1973,"disco, jazz, rock"
18,0.0063100000000000005,Mark Morrison,0.715,213093,0.833,0,3jDdpx9PMlfMBS5tOBHFm9,0.0,2,0.16399999999999998,-5.379,1,Return of the Mack,72,1996-04-22,0.108,95.487,0.612,1996,jazz
19,0.16399999999999998,Aretha Franklin,0.805,147600,0.5579999999999999,0,7s25THrKz86DM225dOYwnr,2.2e-05,0,0.0546,-5.226,1,Respect,72,1967-03-10,0.041,114.95,0.965,1967,"blues, jazz"
20,0.157,"Run The Jewels, Greg Nice, DJ Premier",0.6859999999999999,183827,0.8240000000000001,1,5taqLrLouA4vCjM7ZQpEtW,0.0,11,0.242,-5.4129999999999985,1,ooh la la (feat. Greg Nice & DJ Premier),72,2020-06-03,0.34,170.079,0.405,2020,"hiphop, jazz"
21,0.185,Ramz,0.45,202827,0.465,0,2U5cq89GCnsR1yixKkC8d5,0.0,7,0.0782,-7.867000000000001,0,Barking,71,2017-12-01,0.268,70.23100000000001,0.7879999999999999,2017,"hiphop, jazz"
22,0.228,Natalie Cole,0.685,171960,0.623,0,0PDCewmZCp0P5s00bptcdd,0.00234,8,0.0295,-11.146,1,This Will Be (An Everlasting Love),71,1975-01-01,0.042,126.739,0.8959999999999999,1975,"jazz, rock"
23,0.173,A Tribe Called Quest,0.848,251573,0.6659999999999999,0,3Ti0GdlrotgwsAVBBugv0I,0.000699,0,0.129,-6.5470000000000015,1,Can I Kick It?,71,1990-04-17,0.274,96.662,0.7440000000000001,1990,"hiphop, jazz"
24,0.913,"Ella Fitzgerald, Louis Armstrong",0.443,185160,0.104,0,78MI7mu1LV1k4IA2HzKmHe,0.0,0,0.191,-17.042,1,Dream A Little Dream Of Me - Single Version,71,1957-01-01,0.101,76.497,0.394,1957,"blues, jazz"
25,0.904,Norah Jones,0.363,198147,0.129,0,0Cvjlph1WGbwZY1PlMEtJY,1.52e-06,0,0.157,-14.304,1,Come Away With Me,71,2002-02-26,0.0322,80.367,0.147,2002,jazz
26,0.941,Norah Jones,0.526,200627,0.299,0,7zkLpY72g6lKQbiHDqri1S,0.097,8,0.106,-13.797,1,Sunrise,71,2004-01-01,0.031,156.84799999999996,0.679,2004,jazz
27,0.0664,Boyz II Men,0.64,351467,0.4270000000000001,0,3l3xTXsUXeWlkPqzMs7mPD,0.0,5,0.0579,-9.29,0,End Of The Road,71,1991-04-30,0.0241,149.703,0.529,1991,"jazz, pop"
28,0.0522,"Diddy, Faith Evans, 112",0.862,301520,0.479,0,3QHONiXGMGU3z68mQInncF,0.00126,7,0.589,-9.199,1,I'll Be Missing You (feat. 112),71,2004-03-09,0.0646,109.878,0.925,2004,"hiphop, jazz, pop"
29,0.168,"Earth, Wind & Fire",0.6970000000000001,215093,0.8320000000000001,0,2grjqo0Frpf2okIBiifQKs,0.00131,9,0.269,-7.2639999999999985,1,September,71,1978-11-23,0.0298,125.926,0.979,1978,"disco, jazz"
30,0.114,K-Ci & JoJo,0.629,331240,0.511,0,5GorFaKkP2mLREQvhSblIg,3.91e-06,1,0.0588,-8.651,1,All My Life,71,1997-01-01,0.0326,128.03799999999998,0.181,1997,"hiphop, jazz, pop"
31,0.5760000000000001,"Grover Washington, Jr., Bill Withers",0.8029999999999999,237106,0.488,0,1ko2lVN0vKGUl9zrU0qSlT,0.0609,1,0.0763,-9.303,1,Just the Two of Us (feat. Bill Withers),70,1985,0.0803,95.771,0.624,1985,jazz
32,0.175,Yes,0.7440000000000001,268507,0.7979999999999999,0,0GTK6TesV108Jj5D3MHsYb,0.00367,7,0.26,-5.981,1,Owner of a Lonely Heart,70,1983-06-01,0.0364,125.061,0.89,1983,"jazz, rock"
33,0.736,"Frank Sinatra, Nancy Sinatra",0.257,162493,0.338,0,4feXcsElKIVsGwkbnTHAfV,0.0,4,0.252,-12.902,1,Somethin' Stupid,70,1967-08,0.0357,207.356,0.544,1967,"jazz, pop, rock"
34,0.194,"Matoma, The Notorious B.I.G., Ja Rule, Ralph Tresvant",0.805,321649,0.858,1,6HTJZ0TQJVMSKkUGzAOe2h,7.89e-06,0,0.256,-3.067,1,Old Thing Back (feat. Ja Rule and Ralph Tresvant),70,2015-02-17,0.105,97.033,0.523,2015,"hiphop, jazz, pop"
35,0.452,Brian McKnight,0.6609999999999999,263667,0.34600000000000003,0,6mwA6YiKDjAUG8kWvRRUPh,0.0,11,0.131,-9.115,1,Back At One,70,1999-09-21,0.03,129.752,0.256,1999,"jazz, pop"
36,0.524,"Leslie Odom Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Original Broadway Cast of Hamilton",0.609,236738,0.435,0,4TTV7EcfroSLWzXRY6gLv6,0.0,11,0.118,-7.862,0,Alexander Hamilton,70,2015-09-25,0.284,131.998,0.563,2015,"hiphop, jazz"
37,0.125,Luther Vandross,0.7340000000000001,230467,0.583,0,3nFJbZCHP4d9vduKjJLdBL,0.0,2,0.0367,-11.866,1,Never Too Much,70,1981-07-23,0.129,109.935,0.76,1981,jazz
38,0.237,"Lil Wayne, Bobby V., Kidd Kidd",0.92,286907,0.5529999999999999,1,0EHR9OObFtjlhQB8wSt1m7,0.0,6,0.0767,-5.0680000000000005,1,Mrs. Officer,69,2008-06-10,0.189,112.021,0.947,2008,"hiphop, jazz, pop"
39,0.433,"J. Cole, TLC",0.607,278573,0.784,1,6JG0qhINKVwiHxqN85j7RG,0.0,7,0.6890000000000001,-6.2929999999999975,1,Crooked Smile (feat. TLC),69,2013-06-14,0.268,81.00399999999998,0.482,2013,"hiphop, jazz, pop"
40,0.213,Aretha Franklin,0.65,166973,0.32299999999999995,0,5K09WxKdlkroDyEVyOSySy,0.0,0,0.187,-8.698,1,(You Make Me Feel Like) A Natural Woman,69,1968-01-22,0.0283,110.962,0.276,1968,"blues, jazz"
41,0.833,Buena Vista Social Club,0.396,256653,0.496,0,5sbw5zIz9ck2pOEDXUR0QU,0.00534,2,0.0996,-11.728,0,Chan Chan,69,1997-06-23,0.0356,165.64700000000005,0.679,1997,jazz
42,0.0916,"Macklemore & Ryan Lewis, Grandmaster Melle Mel, Grandmaster Caz, Kool Moe Dee, Eric Nally",0.828,292593,0.609,1,5pfJsMwoRYKampPay8amX0,1.21e-06,1,0.29100000000000004,-4.402,1,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",69,2016-02-26,0.0694,109.725,0.7070000000000001,2016,"hiphop, jazz, pop"
43,0.197,"Childish Gambino, 21 Savage, Ink, Kadhja Bonet",0.691,392187,0.524,1,011ZwIM48eD8ee2UBpG8nK,4.29e-05,5,0.488,-9.718,1,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",69,2020-03-22,0.16,164.047,0.41,2020,"hiphop, jazz, pop"
44,0.278,"KIDS SEE GHOSTS, Louis Prima",0.765,153351,0.542,1,6JyEh4kl9DLwmSAoNDRn5b,1.87e-05,1,0.609,-6.755,1,4th Dimension,69,2018-06-08,0.39,171.945,0.7340000000000001,2018,"blues, hiphop, jazz"
45,0.909,"Stan Getz, João Gilberto, Astrud Gilberto",0.664,321827,0.194,0,3898C4AbdbptwYet6547e5,3.85e-05,5,0.0829,-15.487,0,The Girl From Ipanema,68,1989-01-01,0.0357,129.863,0.443,1989,jazz
46,0.318,Ginuwine,0.562,265533,0.594,0,0Uyh92tLyb9JawG8lmWCzJ,0.0,3,0.311,-4.578,0,Differences,68,2001-04-03,0.0558,62.87600000000001,0.423,2001,"hiphop, jazz, pop"
47,0.125,Souls Of Mischief,0.59,286440,0.672,0,0PV1TFUMTBrDETzW6KQulB,1.04e-06,1,0.147,-11.792,1,93 'Til Infinity,68,1993-02-13,0.412,206.247,0.688,1993,"hiphop, jazz"
48,0.679,Nat King Cole,0.425,155307,0.373,0,4QxDOjgpYtQDxxbWPuEJOy,0.0,4,0.077,-7.542999999999997,1,L-O-V-E,68,1992-01-01,0.0797,78.225,0.6629999999999999,1992,jazz
49,0.353,"Mariah Carey, Boyz II Men",0.569,281067,0.495,0,7ySbfLwdCwl1EM0zNCJZ38,0.0,1,0.0839,-8.964,1,One Sweet Day,68,1995-09-26,0.03,128.22799999999998,0.302,1995,"jazz, pop"
50,0.421,"Diddy, Ginuwine, Loon, Mario Winans",0.713,285587,0.471,0,6Wt5QBzHp9vdSLAFlvdnDQ,0.0,1,0.0308,-7.392,0,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",68,2004-03-09,0.483,199.765,0.7809999999999999,2004,"hiphop, jazz, pop"
51,0.184,"Angel Y Khriz, Gocho El Lápiz De Platino, John Eric",0.878,202867,0.894,0,2Jz1X6ZB0gkkCVgmeVGVGp,0.0,6,0.105,-5.834,1,Na De Na,68,2008,0.123,119.927,0.682,2008,"blues, classical, country, hiphop, jazz, metal, reggae, rock"
52,0.251,Zaz,0.525,215933,0.807,0,734dz1YaFITwawPpM25fSt,0.0,2,0.0504,-6.3660000000000005,0,Je veux,68,2010-05-10,0.0725,155.39700000000005,0.741,2010,jazz
53,0.6890000000000001,Etta James,0.477,156653,0.433,0,1kPBT8S2wJFNAyBMnGVZgL,0.000195,11,0.151,-6.473,0,I'd Rather Go Blind,68,1968-04-18,0.0247,82.52,0.611,1968,"blues, jazz"
54,0.483,Nancy Sinatra,0.74,166008,0.392,0,2nwCO1PqpvyoFIvq3Vrj8N,1.11e-06,9,0.0965,-11.996,1,These Boots Are Made For Walkin',68,1966-03,0.0824,82.742,0.387,1966,"jazz, pop, rock"
