,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
0,0.0778,Bon Jovi,0.532,249293,0.887,0,37ZJ0p5Jm13JPevGcx4SkF,0.000214,0,0.294,-3.757,1,Livin' On A Prayer,83,1986-08-16,0.0335,122.511,0.795,1986,"metal, rock"
1,0.00958,Linkin Park,0.556,216880,0.8640000000000001,0,60a0Rd6pjrkxjPbaKzXjfq,0.0,3,0.209,-5.87,0,In the End,83,2000-10-24,0.0584,105.143,0.4,2000,"hiphop, metal"
2,0.0576,Red Hot Chili Peppers,0.5589999999999999,264307,0.345,0,3d9DChrdc6BOeFsbrZ3Is0,0.000105,4,0.141,-13.496,1,Under the Bridge,81,1991-09-24,0.0459,84.581,0.458,1991,"metal, pop, rock"
3,0.0021,Red Hot Chili Peppers,0.5920000000000001,329733,0.767,0,48UPSzbZjgc449aqz8bxox,0.00165,9,0.127,-2.7880000000000003,0,Californication,81,1999-06-08,0.027000000000000003,96.483,0.328,1999,"metal, pop, rock"
4,0.0046,Linkin Park,0.496,185587,0.863,0,2nLtzopw4rPReszdYBJU6h,0.0,9,0.639,-4.1530000000000005,1,Numb,81,2003-03-24,0.0381,110.018,0.243,2003,"hiphop, metal"
5,0.0163,Guns N' Roses,0.294,536067,0.6409999999999999,0,3YRCqOhFifThpSRFJ1VWFM,0.22,11,0.112,-9.316,1,November Rain,80,1991-09-17,0.0291,79.759,0.226,1991,"metal, rock"
6,0.0663,Bon Jovi,0.541,222707,0.96,0,0rmGAIH9LNJewFw7nKzZnc,2.25e-06,0,0.344,-2.947,0,You Give Love A Bad Name,80,1986-08-16,0.0505,122.803,0.812,1986,"metal, rock"
7,0.0179,Red Hot Chili Peppers,0.618,269000,0.938,0,3ZOEytgrvLwQaqXreDs2Jx,0.0,9,0.16699999999999998,-3.442,1,Can't Stop,80,2002-07-09,0.0456,91.455,0.875,2002,"metal, pop, rock"
8,0.000278,System Of A Down,0.419,210240,0.934,0,2DlHlPMa4M17kufBvI2lEN,0.0015,7,0.132,-3.908,0,Chop Suey!,79,2001-09-04,0.12,127.288,0.28600000000000003,2001,"hiphop, metal, rock"
9,0.000481,Papa Roach,0.589,199907,0.89,1,5W8YXBz9MTIDyrpYaCg2Ky,0.00082,4,0.201,-3.719,0,Last Resort,79,2001-04-25,0.0603,90.598,0.6920000000000001,2001,"hiphop, metal, rock"
10,0.0072099999999999985,Evanescence,0.331,235893,0.943,0,0COqiPhxzoWICwFCS4eZcp,2.06e-06,4,0.242,-3.188,0,Bring Me To Life,79,2003-03-04,0.0698,94.612,0.29600000000000004,2003,metal
11,0.0395,Smash Mouth,0.731,200373,0.867,0,3cfOd4CMv2snFaKAnMdnvK,0.0,11,0.0861,-5.881,1,All Star,79,1999-06-08,0.032,104.019,0.7759999999999999,1999,"metal, pop, rock"
12,0.116,Red Hot Chili Peppers,0.4270000000000001,334667,0.9,0,2aibwv5hGXSgw7Yru8IYTO,1.75e-05,11,0.119,-3.674,1,Snow (Hey Oh),79,2006-05-09,0.0499,104.655,0.599,2006,"metal, pop, rock"
13,0.00135,Nickelback,0.446,223840,0.764,0,0gmbgwZ8iqyMPmXefof8Yf,0.0,10,0.099,-5.042,1,How You Remind Me,78,2001-09-11,0.033,172.09400000000005,0.5429999999999999,2001,"metal, rock"
14,0.00316,Red Hot Chili Peppers,0.458,255373,0.795,0,64BbK9SFKH2jk86U3dGj2P,0.000202,0,0.0756,-3.265,1,Otherside,78,1999-06-08,0.0574,123.229,0.513,1999,"metal, pop, rock"
15,0.0129,Hoobastank,0.472,232800,0.6709999999999999,0,77loZpT5Y5PRP1S451P9Yz,0.0,4,0.159,-4.649,1,The Reason,78,2003-12-09,0.029,82.95200000000001,0.0681,2003,"metal, pop, rock"
16,0.0266,Rage Against The Machine,0.466,313573,0.833,1,59WN2psjkt1tyaxjspN8fp,0.0,7,0.0327,-4.215,1,Killing In The Name,78,1992,0.304,88.785,0.6609999999999999,1992,"hiphop, metal, rock"
17,0.171,Van Halen,0.5720000000000001,241600,0.835,0,7N3PAbqfTjSEU1edb2tY8j,0.000376,0,0.0702,-6.2189999999999985,1,Jump - 2015 Remaster,78,1984-01-04,0.0317,129.994,0.7959999999999999,1984,"metal, rock"
18,0.315,Scorpions,0.452,312360,0.524,0,3ovjw5HZZv43SxTwApooCM,0.0,0,0.103,-10.108,1,Wind Of Change,78,1990-01-01,0.0351,151.505,0.246,1990,"metal, rock"
19,0.6859999999999999,"America, George Martin",0.654,252240,0.506,0,54eZmuggBFJbV7k248bTTt,0.0155,11,0.155,-17.18,0,A Horse with No Name,77,1972,0.0535,123.179,0.831,1972,"metal, pop, rock"
20,0.000264,System Of A Down,0.413,218933,0.873,0,0snQkGI5qnAmohLE7jTsTn,0.0025,8,0.204,-4.151,1,Toxicity,77,2001-09-04,0.0535,116.681,0.481,2001,"hiphop, metal, rock"
21,0.0371,Jimmy Eat World,0.643,165853,0.8490000000000001,0,6GG73Jik4jUlQCkKg9JuGO,0.0,2,0.058,-5.428,1,The Middle,77,2001-07-17,0.0526,162.15200000000004,0.903,2001,"metal, pop, rock"
