,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
69427,87942,0.00146,['The Weeknd'],0.514,200040,0.73,0,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1,0.0897,-5.934,1,Blinding Lights,100,2020-03-20,0.0598,171.005,0.334,2020,['pop']
69433,87949,0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0.0,8,0.696,-8.765,0,death bed (coffee for your head) (feat. beabadoobee),97,2020-02-08,0.135,144.026,0.348,2020,['pop']
69426,87941,0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0.0,0,0.157,-7.648,0,THE SCOTTS,96,2020-04-24,0.0514,129.97899999999998,0.28,2020,['hiphop' 'pop']
69332,87844,0.305,"['BENEE', 'Gus Dapperton']",0.863,223480,0.631,1,4nK5YrxbMGZstTLbvj6Gxw,3.04e-05,7,0.123,-4.689,1,Supalonely,95,2019-11-15,0.0534,128.977,0.8170000000000001,2019,['pop']
69430,87946,0.321,['Drake'],0.8340000000000001,247059,0.454,1,127QTOFJsJQp5LbJbu3A1y,6.15e-06,1,0.114,-9.75,0,Toosie Slide,95,2020-04-03,0.201,81.618,0.8370000000000001,2020,['hiphop' 'pop']
69437,87953,0.223,"['Ariana Grande', 'Justin Bieber']",0.597,228482,0.45,0,4HBZA5flZLE435QTztThqH,0.0,8,0.382,-6.658,1,Stuck with U (with Justin Bieber),94,2020-05-08,0.0418,178.765,0.537,2020,['pop']
69436,87952,0.021,"['Lady Gaga', 'Ariana Grande']",0.672,182200,0.855,0,24ySl2hOPGCDcxBxFIqWBu,0.0,9,0.32299999999999995,-3.764,1,Rain On Me (with Ariana Grande),94,2020-05-22,0.0397,123.056,0.6459999999999999,2020,['pop']
69345,87858,0.6920000000000001,['Tones And I'],0.8240000000000001,209438,0.588,0,2XU0oxnq2qxCpomAAuJY8K,0.000104,6,0.149,-6.4,0,Dance Monkey,94,2019-10-17,0.0924,98.027,0.513,2019,['pop']
69338,87850,0.0125,['Dua Lipa'],0.794,183290,0.7929999999999999,0,6WrI0LAC5M1Rw2MnX2ZvEg,0.0,11,0.0952,-4.521,0,Don't Start Now,93,2019-10-31,0.0842,123.941,0.677,2019,['pop']
69330,87842,0.183,['Surfaces'],0.878,158571,0.525,0,1Cv1YLb4q0RzL6pybtaMLo,0.0,5,0.0714,-6.8320000000000025,1,Sunday Best,93,2019-01-06,0.0578,112.022,0.6940000000000001,2019,['pop']
69333,87845,0.256,['Doja Cat'],0.787,237893,0.6729999999999999,1,3Dv1eDb0MEgF93GpLXlucZ,3.57e-06,11,0.0904,-4.577,0,Say So,93,2019-11-07,0.158,110.962,0.7859999999999999,2019,['pop']
69331,87843,0.0522,['Arizona Zervas'],0.621,163636,0.601,1,696DnlkuDOXcMAnKlTgXXK,0.0,6,0.46,-5.6160000000000005,0,ROXANNE,92,2019-10-10,0.14800000000000002,116.735,0.457,2019,['hiphop' 'pop']
69428,87944,0.017,['Jack Harlow'],0.923,139741,0.604,1,1jaTQ3nqY3oAAYyCTbIvnM,0.0,11,0.272,-6.671,0,WHATS POPPIN,92,2020-03-13,0.245,145.062,0.826,2020,['hiphop' 'pop']
69229,87741,0.123,['Trevor Daniel'],0.784,159382,0.43,0,4TnjEaWOeW0eKTKIEvJyCa,0.0,10,0.0887,-8.756,0,Falling,92,2018-10-05,0.0364,127.087,0.236,2018,['hiphop' 'pop']
69453,87969,0.127,['Doja Cat'],0.7070000000000001,134240,0.955,0,78qd8dvwea0Gosb6Fe6j3k,0.0,10,0.202,-4.593,0,Boss Bitch,92,2020-01-23,0.222,125.989,0.575,2020,['pop']
69431,87947,0.016,"['Megan Thee Stallion', 'Beyoncé']",0.8220000000000001,242001,0.743,1,5v4GgrXPMghOnBBLmveLac,0.0,10,0.127,-4.772,0,Savage Remix (feat. Beyoncé),92,2020-04-29,0.28,84.459,0.636,2020,['hiphop' 'pop']
69376,87890,0.223,"['Topic', 'A7S']",0.789,166794,0.72,0,3H7ihDc1dqLriiWXwsc2po,0.0,8,0.129,-5.652,0,Breaking Me,92,2019-12-19,0.218,122.031,0.664,2019,['pop']
69343,87856,0.7509999999999999,['Lewis Capaldi'],0.501,182161,0.405,0,7qEHsqek33rTcFNT9PFqLf,0.0,1,0.105,-5.6789999999999985,1,Someone You Loved,92,2019-05-17,0.0319,109.891,0.446,2019,['pop']
69395,87909,0.295,"['KAROL G', 'Nicki Minaj']",0.8029999999999999,200960,0.715,0,7k4t7uLgtOxPwTpFmtJNTY,0.000134,2,0.0574,-3.28,1,Tusa,92,2019-11-07,0.298,101.085,0.574,2019,['hiphop' 'pop' 'reggae']
69352,87865,0.8370000000000001,['Maroon 5'],0.764,189486,0.32,0,2b8fOow8UzyDFAE27YhOZM,0.0,11,0.0822,-7.209,1,Memories,91,2019-09-20,0.0546,91.019,0.575,2019,['pop' 'rock']
69455,87971,0.00285,['The Weeknd'],0.667,237520,0.7190000000000001,1,7szuecWAPwGoV1e5vGu8tl,8.1e-05,7,0.0736,-5.371,0,In Your Eyes,91,2020-03-20,0.0346,100.021,0.7170000000000001,2020,['pop']
69350,87863,0.328,['Billie Eilish'],0.701,194088,0.425,0,2Fxmhks0bxGSBdJ92vM42m,0.13,7,0.1,-10.965,1,bad guy,91,2019-03-29,0.375,135.128,0.562,2019,['pop']
69441,87957,0.007759999999999999,"['Marshmello', 'Halsey']",0.63,172762,0.633,0,3Z8FwOEN59mRMxDCtb8N0A,0.0,4,0.0541,-7.087999999999999,1,Be Kind (with Halsey),91,2020-05-01,0.0457,93.995,0.452,2020,['pop']
68941,87440,0.612,['Melanie Martinez'],0.68,179867,0.7290000000000001,1,4DpNNXFMMxQEKl7r0ykkWA,0.0,5,0.224,-5.077,1,Play Date,91,2015-08-14,0.0475,123.97,0.446,2015,['pop']
69448,87964,0.317,"['Justin Bieber', 'Quavo']",0.8109999999999999,212869,0.5529999999999999,0,364dI1bYnvamSnBJ8JcNzN,0.0,9,0.105,-6.644,1,Intentions,90,2020-02-07,0.0552,148.014,0.86,2020,['hiphop' 'pop']
69519,88036,0.193,"['Black Eyed Peas', 'Ozuna', 'J. Rey Soul']",0.894,249143,0.635,1,14wf185UxfNbSy8dwt4r4q,0.00105,2,0.0823,-6.9289999999999985,1,MAMACITA,90,2020-04-10,0.0473,105.013,0.428,2020,['hiphop' 'pop' 'reggae']
77004,97637,0.177,['Regard'],0.88,157606,0.7509999999999999,0,2tnVG71enUj33Ic2nFN6kZ,6.43e-05,7,0.106,-4.258,0,Ride It,90,2019-07-26,0.0874,117.948,0.884,2019,['pop']
69438,87954,0.0706,"['Future', 'Drake']",0.6759999999999999,237735,0.609,1,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2,0.152,-5.831,0,Life Is Good (feat. Drake),90,2020-01-10,0.481,142.037,0.508,2020,['hiphop' 'pop']
69344,87857,0.902,['Billie Eilish'],0.7040000000000001,245426,0.225,0,3ZCTVFBt2Brf31RLEnCkWJ,0.657,6,0.106,-14.454,0,everything i wanted,90,2019-11-13,0.0994,120.006,0.243,2019,['pop']
69339,87851,0.122,['Harry Styles'],0.5479999999999999,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,Watermelon Sugar,90,2019-12-13,0.0465,95.39,0.557,2019,['pop']
