,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
0,0.021,Bad Bunny,0.86,172127,0.758,0,0SqqAgdovOE24BzxIClpjw,6.54e-05,11,0.344,-5.16,1,Yo Perreo Sola,92,2020-02-28,0.0695,97.014,0.453,2020,"hiphop, reggae"
1,0.0103,"Bad Bunny, Jowell & Randy, Nengo Flow",0.607,295177,0.8290000000000001,1,2DEZmgHKAvm41k4J3R2E9Y,0.0,2,0.107,-4.074,1,Safaera,92,2020-02-28,0.379,96.172,0.685,2020,"hiphop, reggae"
2,0.295,"KAROL G, Nicki Minaj",0.8029999999999999,200960,0.715,0,7k4t7uLgtOxPwTpFmtJNTY,0.000134,2,0.0574,-3.28,1,Tusa,92,2019-11-07,0.298,101.085,0.574,2019,"hiphop, pop, reggae"
3,0.193,"Black Eyed Peas, Ozuna, J. Rey Soul",0.894,249143,0.635,1,14wf185UxfNbSy8dwt4r4q,0.00105,2,0.0823,-6.9289999999999985,1,MAMACITA,90,2020-04-10,0.0473,105.013,0.428,2020,"hiphop, pop, reggae"
4,0.464,"Anuel AA, Bad Bunny",0.691,246000,0.765,1,06s3QtMJVXw1AJX3UfvZG1,3.29e-06,8,0.203,-4.727,1,Hasta Que Dios Diga,88,2020-05-29,0.111,174.021,0.855,2020,"hiphop, reggae"
5,0.0334,"Black Eyed Peas, J Balvin",0.721,221714,0.716,1,6cy3ki60hLwimwIje7tALf,0.00084,10,0.237,-7.037000000000001,0,RITMO (Bad Boys For Life),88,2019-10-12,0.0657,104.994,0.667,2019,"hiphop, pop, reggae"
6,0.0861,Bad Bunny,0.685,163084,0.848,1,6NfrH0ANGmgBXyxgV2PeXt,7.14e-06,8,0.0783,-4.561,0,La Difícil,88,2020-02-28,0.0858,179.87,0.7609999999999999,2020,"hiphop, reggae"
7,0.3,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",0.815,345241,0.715,1,1mohfLaTJtB2RplHLQVM70,4.83e-06,4,0.091,-4.65,0,La Jeepeta - Remix,87,2020-04-24,0.207,176.007,0.7859999999999999,2020,"hiphop, reggae"
8,0.0948,"Feid, Justin Quiles",0.843,233000,0.5489999999999999,0,3iQOfefMGDVDwo8dZoco8T,0.0,6,0.155,-8.017999999999999,0,PORFA,87,2019-12-13,0.16399999999999998,83.98200000000001,0.541,2019,"pop, reggae"
9,0.402,Bad Bunny,0.9,170972,0.603,0,41wtwzCZkXwpnakmwJ239F,4.81e-06,2,0.134,-5.313,1,Si Veo a Tu Mamá,87,2020-02-28,0.0646,129.928,0.8240000000000001,2020,"hiphop, reggae"
